Print price,Ebook price (1 User licence),Title
25,520,100 Cases in General Practice
56,552,Abnormal Psychology
67,293,Advanced nutrition and human metabolism
38,440,Alcohol and Drug Misuse: A Guide for Health and Social Care Professionals
110,525,Alcohol and Drug Misuse: A Guide for Health and Social Care Professionals
45,180,Alternative Market Research Methods: Market Sensing
63,624,An Introduction to Brain and Behavior
42,500,An Introduction to criminological theory
21,380,"An introduction to literature, criticism and theory"
66,409,An Introduction to Management Science : Quantitative Approaches to Decision Making : Quantitative Approaches to Decision Making
140,800,Armstrong's Handbook of Human Resource Management Practice
45,1600,Armstrong's handbook of human resource management practice
50,455,Auditing and assurance services
55,196,Basic biomechanics
55,440,Basic biomechanics
50,520,Big data and social science: Data science methods and tools for research and practice
43,250,Business Information Systems
37,135,Career Guidance for Emancipation: Reclaiming Justice for the Multitude
36,598,Cases in comparative government and politics
28,224,Child development practice
14,114,Cite Them Right : The Essential Referencing Guide
110,525,Clark's positioning in radiography
30,200,Coaching and mentoring
40,420,Cognitive development and cognitive neuroscience: the learning brain.
33,480,Community development for social change
36,288,Comparative government and politics
43,238,Corporate Entrepreneurship: innovation and strategy in large organizations
62,232,Corporate finance
18,144,Critical thinking skills
37,480,Criticizing Photographs: An Introduction to Understanding Images
24,261,Data collection research methods in applied linguistics
30,600,Digital Marketing Strategy : An Integrated Approach to Online Marketing
45,423,Economics of the environment: selected readings
50,400,"Effective Management: Developing yourself, others and organizations"
45,564,"Electronic and Experimental Music: Technology, Music & Culture"
40,225,Emery's Elements of Medical Genetics
33,440,Employment Law
45,800,Employment law: the essentials
37,768,Engineering Mathematics
33,460,English 5-11: a guide for teachers
21,234,Enhancing learning with effective practical science 11-16
56,424,"Entrepreneurship and Small Business : Start-Up, Growth and Maturity"
24,750,Environment and International Relations
58,700,Essentials of Biology (International Student Edition)
65,170,"Ethics in Computing, Science and Engineering"
74,293,Ethics in psychology and the mental health professions : standards and cases
60,170,Excel 2016 for engineering statistics
50,800,From logistics strategy to macrologistics: imperatives for a developing world
169,700,Fundamentals of corporate finance
95,760,Gender: a sociological perspective
